task|category|subcategory
Lokalizuje zvuk a ukáže směr|Sluchové vnímání a paměť|Naslouchání
Pozná předměty dle zvuku|Sluchové vnímání a paměť|Naslouchání
Poznává písně podle melodie|Sluchové vnímání a paměť|Naslouchání
Naslouchá krátkému příběhu, pohádce|Sluchové vnímání a paměť|Naslouchání
Rozliší slova: vizuální podnět, změna hlásky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: bez viz. podnětu, změna hlásky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: vizuální podnět, změna samohlásky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: bez viz. podnětu, změna samohlásky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: vizuální podnět, Z/N; sykavky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: bez viz. podnětu, Z/N; sykavky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: vizuální podnět, změna délky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: bez viz. podnětu, změna dělky|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: vizuální podnět, změna měkčení|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slova: bez viz. podnětu, změna měkčení|Sluchové vnímání a paměť|Sluchové rozlišování
Rozliší slabiky|Sluchové vnímání a paměť|Sluchové rozlišování
Zopakuje větu ze 3 slov|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje 3 nesouvisející slova|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje větu ze 4 slov|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje 4 nesouvisející slova|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje větu z 5 slov|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje větu z více slov|Sluchové vnímání a paměť|Sluchová paměť
Zopakuje 5 nesouvisejících slov|Sluchové vnímání a paměť|Sluchová paměť
Roztleská slovo na slabiky|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Zvládá rozpočítadla|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Z trojice slov najde rýmující se dvojici|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí, zda se dvě slova rýmují|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Vyhledá rýmující se dvojice|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí počet slabik|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí počáteční hlásku slova|Sluchové vnímání a paměť|Sluchová analýza, syntéza
