temporary_task_id|parent_temporary_id|task_code|task_description|age_from|age_to|difficulty|allows_note|subcategory|category|assessment_type|is_in_demo
1||1|Přiřadí barvu (základní barvy)|3||||Barva|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
2||2|Na pokyn ukáže požadovanou barvu|3.5||||Barva|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
3||3|Pojmenuje barvu (základní)|4||||Barva|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
4||4 Z4,5|Přiřadí odstíny barev|5||||Barva|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
5||5 Z4,5|Pojmenuje odstíny barev|6||||Barva|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
6||6 Z6,7|Vyhledá známý předmět na obrázku|3||||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
7||7 Z6,7|Vyhledá objekt na obrázku dle předlohy|3.5||||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
8|7||Vyhledá objekt na obrázku dle předlohy|||harder||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
9||8 Z8|Vyhledá známý objekt na pozadí|4|5|||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
10|9||Vyhledá známý objekt na pozadí|||harder||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
11||9 Z9|Odliší dva překrývající se obrázky|4|5|||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
12|11||Odliší dva překrývající se obrázky|||easier||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
13|11||Odliší dva překrývající se obrázky|||same||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
14|11||Odliší dva překrývající se obrázky|||harder||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
15||10 Z10|Sleduje linii mezi ostatními|5.5||||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
16|15||Sleduje linii mezi ostatními|||easier||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
17|15||Sleduje linii mezi ostatními|||harder||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
18||11 Z11|Vyhledá tvar na pozadí|6||||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
19|18||Vyhledá tvar na pozadí|||easier||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
20|18||Vyhledá tvar na pozadí|||harder||Figura a pozadí|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
21||12 Z12|Odliší výrazně jiný obrázek v řadě|3.5||||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
22|21||Odliší výrazně jiný obrázek v řadě|||easier||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
23|21||Odliší výrazně jiný obrázek v řadě|||harder||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
24||13 Z13|Odliší obrázek v jiné velikosti|3.5||||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
25||14 Z14|Odliší jiný obrázek v řadě|4.5||||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
26|25||Odliší jiný obrázek v řadě|||easier||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
27|25||Odliší jiný obrázek v řadě|||harder||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
28||15 Z15|Odliší obrázek v řadě lišící se horizontální polohou|4.5|5|||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
29|28||Odliší obrázek v řadě lišící se horizontální polohou|||easier||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
30|28||Odliší obrázek v řadě lišící se horizontální polohou|||same||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
31||16 Z16|Odliší obrázek v řadě lišící se detaily|5||||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
32|31||Odliší obrázek v řadě lišící se detaily|||same||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
33||17 Z17|Odliší shodné a neshodné dvojice lišící se detailem|5||||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
34||18 Z18|Odliší obrázek v řadě lišící se vertikální polohou|5.5|6|||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
35|34||Odliší obrázek v řadě lišící se vertikální polohou|||easier||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
36|34||Odliší obrázek v řadě lišící se vertikální polohou|||harder||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
37||19 Z19|Vyhledá dva shodné obrázky v řadě|5.5|6|||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
38||20 Z20|Odliší shodné a neshodné dvojice lišící se vertikální polohou|5.5|6|||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
39|38||Odliší shodné a neshodné dvojice lišící se vertikální polohou|||harder||Zrakové rozlišování (Zraková diferenciace)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
40||21 Z21|Poskládá obrázek ze dvou částí|3|3.5|||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
41|40||Poskládá obrázek ze dvou částí|||same||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
42||22 Z22|Poskládá obrázek ze čtyř částí|3.5|4|||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
43|42||Poskládá obrázek ze čtyř částí|||same||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
44||23 Z23|Poskládá obrázek z několika částí|4||||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
45|44||Poskládá obrázek z několika částí|||harder||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
46||24 Z24,25|Složí tvar z několika částí na předlohu|5||||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
47||25 Z24,25|Složí tvar  z několika částí podle předlohy|5.5||||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
48||26 Z26|Doplní chybějící části v obrázku|5.5|6|||Část a celek (Zraková analýza a syntéza)|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
49||27|Pamatuje si tři předměty, pozná, který chybí|4||||Zraková paměť|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
50||28 Z28,29|Pamatuje si tři obrázky, pozná, který chybí|4.5||||Zraková paměť|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
51||29 Z28,29|Ze šesti obrázků si tři pamatuje|5||||Zraková paměť|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
52||30 Z30|Pozná viděné obrázky|5|6|||Zraková paměť|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
53||31 Z31|Umístí obrázky na místo|6||||Zraková paměť|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
54||32 Z32|Jmenuje objekty zleva doprava|5||||Pohyby očí po řádku|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
55||33 Z33|Vyhledá daný první objekt ve kupině zleva doprava|5.5|6|||Pohyby očí po řádku|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
56|55||Vyhledá daný první objekt ve kupině zleva doprava|||same||Pohyby očí po řádku|Zrakové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|1
57||1|Lokalizuje zvuk (ukáže směr)|3||||Naslouchání|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
58||2|Pozná předměty podle zvuku|3|4|||Naslouchání|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
59||3|Poznává písně podle melodie|4||||Naslouchání|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
60||4|Naslouchá krátkému příběhu, pohádce|4||||Naslouchání|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
61||5 S5|Rozliší slova s vizuálním podnětem (změna hlásky)  hodiny-holínky bota-nota tráva-kráva|4||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
62||6 Z6,7|Rozliší slova: bez vizuálního podnětu (změna hlásky) most-kost kniha-kniha udice-ulice hrady-brady vločka-vločka konec-kopec|5||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
63||7 S7|Rozliší slova s vizuálním podnětem (změna samohlásky)  kapr-kopr perník-parník|4||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
64||8|Rozliší slova bez vizuálního podnětu (změna samohlásky)  plot-plat drak-drak kus-kos sud-sad slavit-slevit les-les|4.5|5|||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
65||9 S9|Rozliší slova s vizuálním podnětem (znělé a neznělé hlásky, sykavky) kos-koš kosa-koza pije-bije pupen-buben|4.5|5|||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
66||10|Rozliší slova bez vizuálního podnětu (znělé a neznělé hlásky, sykavky) hrad-hrad zem-sem ples-pleš tělo-dělo myš-myš noc-nos vozy-vosy|5||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
67||11 S11|Rozliší slova s vizuálním podnětem (změna délky) lyže-líže páni-paní|5||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
68||12|Rozliší slova: bez vizuálního podnětu (změna dělky) dráha-drahá kára-kárá žila-žíla lak-lák síla-síla pára-párá vila-víla|5|5.5|||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
69||13 S13|Rozliší slova s vizuálním podnětem (změna měkčení) nemá-němá hrozny-hrozní|5.5||||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
70||14|Rozliší slova bez vizuálního podnětu (změna měkčení) čistí-čistý dýky-díky mladý-mladý lety-letí hrady-hradí psaní-psaní tyká-tiká|5.5|6|||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
71||15|Rozliší slabiky: tam-dam dlo-plo tam-tam čil-žil don-don fal-val hal-chal bro-bro dyn-din zni-zny tyl-tyl kni-kny díl-dýl pny-pny del-děl těk-tek|6|6.5|||Sluchové rozlišování (sluchová diferenciace)|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí, ukáže obrázek / zvládá samostatně|0
72||16|Zopakuje větu ze tří slov|3||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
73||17|Zopakuje tři nesouvisející slova|4||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
74||18|Zopakuje větu ze čtyř slov|4||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
75||19|Zopakuje čtyři nesouvisející slova|5||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
76||20|Zopakuje větu z pěti slov|5||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
77||21|Zopakuje větu z více slov|6||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
78||22|Zopakuje pět nesouvisejících slov|6||||Sluchová paměť|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
79||23|Roztleská slovo na slabiky|4||||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
80||24|Zvládá rozpočítadla|4||||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
81||25 S26,27|Z trojice slov najde rýmující se dvojici|4.5|5|||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
82||26 S26,27|Určí, zda se dvě slova rýmují|4.5|5|||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
83||27 S26,27|Vyhledá rýmující se dvojice drak-mrak míč-klíč pes-les metr-svetr tužka-hruška|5||||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
84|83||Vyhledá rýmující se dvojice liška-šiška opice-slepice židle-vidle rak-prak obr-bobr|||same||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
85||28|Určí počet slabik|5||||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
86|85||Určí počet slabik slon, vůz, luk, had, čert, mísa, kočka, koza, koláč, hřeben, cibule, jahoda, bačkory, krokodýl, formule, čokoláda, kukuřice, muchomůrka, rukavice, lokomotiva|||easier||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
87||29|Určí počáteční hlásku slova|5||||Sluchová analýza, syntéza|Sluchové vnímání a paměť|nezvládá / zvládá s dopomocí / zvládá samostatně|0
